~product~product_code~product_category~product_subcategory
316~Refresco limón Schweppes original~27761~Agua y refrescos >~Refresco de naranja y de limón
317~Refresco limón Schweppes original~27762~Agua y refrescos >~Refresco de naranja y de limón
318~Refresco lima limón Sprite~26990~Agua y refrescos >~Refresco de naranja y de limón
319~Refresco lima limón Sprite~28176~Agua y refrescos >~Refresco de naranja y de limón
320~Refresco lima limón Sprite~27845~Agua y refrescos >~Refresco de naranja y de limón
321~Refresco lima limón 7 Up~27763~Agua y refrescos >~Refresco de naranja y de limón
322~Refresco lima limón 7 Up~22112~Agua y refrescos >~Refresco de naranja y de limón
323~Refresco lima limón 7 Up~27770~Agua y refrescos >~Refresco de naranja y de limón
324~Refresco lima limón Hacendado fresh gas~29079~Agua y refrescos >~Refresco de naranja y de limón
325~Refresco lima limón Hacendado fresh gas~29047~Agua y refrescos >~Refresco de naranja y de limón
326~Refresco lima limón Hacendado fresh gas~29048~Agua y refrescos >~Refresco de naranja y de limón
